company,card_name,title,url,file_size_bytes,page_count,local_path
KB,KB My WE:SH 카드,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09923.pdf,4603886,8,datasets/pdfs\KB_KB My WESH 카드_.pdf
KB,KB My WE:SH 카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09923__prdctOpmn_20241230.pdf,1414827,10,datasets/pdfs\kb\manuals\KB_KB My WESH 카드_PDF로 파일저장_manual.pdf
KB,KB My WE:SH 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09923.pdf,4603886,8,datasets/pdfs\kb\terms\KB_KB My WESH 카드_PDF로 파일저장_terms.pdf
KB,KB Star 카드,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09310.pdf,4859113,8,datasets/pdfs\KB_KB Star 카드_.pdf
KB,KB Star 카드,K-World UPI Diamond 상품설명서_terms,https://img2.kbcard.com/obj/card/download/00126_stpul_20250410.pdf,837940,3,datasets/pdfs\kb\terms\KB_KB Star 카드_K-World UPI Diamond 상품설명서_terms.pdf
KB,KB Star 카드,Mastercard World 상품설명서_terms,https://img2.kbcard.com/obj/card/download/00128_stpul_20250410.pdf,947937,3,datasets/pdfs\kb\terms\KB_KB Star 카드_Mastercard World 상품설명서_terms.pdf
KB,KB Star 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09310.pdf,4859113,8,datasets/pdfs\kb\terms\KB_KB Star 카드_PDF로 파일저장_terms.pdf
KB,KB The Easy 카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09250__prdctOpmn_20250321.pdf,328964,4,datasets/pdfs\kb\manuals\KB_KB The Easy 카드_PDF로 파일저장_manual.pdf
KB,KB The Easy 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09250.pdf,4757905,8,datasets/pdfs\kb\terms\KB_KB The Easy 카드_PDF로 파일저장_terms.pdf
KB,KB 국민 굿데이 카드,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09063.pdf,4767952,8,datasets/pdfs\KB_KB 국민 굿데이 카드_.pdf
KB,KB 국민 굿데이 카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09063__prdctOpmn_20250813.pdf,572094,3,datasets/pdfs\kb\manuals\KB_KB 국민 굿데이 카드_PDF로 파일저장_manual.pdf
KB,KB 국민 굿데이 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09063.pdf,4767952,8,datasets/pdfs\kb\terms\KB_KB 국민 굿데이 카드_PDF로 파일저장_terms.pdf
KB,KB 마이원 카드,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_02050.pdf,4812472,9,datasets/pdfs\KB_KB 마이원 카드_.pdf
KB,KB 마이원 카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/02050__prdctOpmn_20241129.pdf,597374,3,datasets/pdfs\kb\manuals\KB_KB 마이원 카드_PDF로 파일저장_manual.pdf
KB,KB 마이원 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_02050.pdf,4812472,9,datasets/pdfs\kb\terms\KB_KB 마이원 카드_PDF로 파일저장_terms.pdf
KB,KB 직장인 보너스 체크카드,,https://img2.kbcard.com/obj/card/download/01690__prdctOpmn_20241129.pdf,695140,3,datasets/pdfs\KB_KB 직장인 보너스 체크카드_.pdf
KB,KB 직장인 보너스 체크카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/01690__prdctOpmn_20241129.pdf,695140,3,datasets/pdfs\kb\manuals\KB_KB 직장인 보너스 체크카드_PDF로 파일저장_manual.pdf
KB,KB 청춘대로 톡톡카드,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09174.pdf,4614162,8,datasets/pdfs\KB_KB 청춘대로 톡톡카드_.pdf
KB,KB 청춘대로 톡톡카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09174__prdctOpmn_20241128.pdf,592990,3,datasets/pdfs\kb\manuals\KB_KB 청춘대로 톡톡카드_PDF로 파일저장_manual.pdf
KB,KB 청춘대로 톡톡카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09174.pdf,4614162,8,datasets/pdfs\kb\terms\KB_KB 청춘대로 톡톡카드_PDF로 파일저장_terms.pdf
KB,KB 탄탄대로 Miz&Mr,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09183.pdf,4602297,8,datasets/pdfs\KB_KB 탄탄대로 MizMr_.pdf
KB,KB 탄탄대로 Miz&Mr,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09183__prdctOpmn_20241128.pdf,609293,4,datasets/pdfs\kb\manuals\KB_KB 탄탄대로 MizMr_PDF로 파일저장_manual.pdf
KB,KB 탄탄대로 Miz&Mr,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09183.pdf,4602297,8,datasets/pdfs\kb\terms\KB_KB 탄탄대로 MizMr_PDF로 파일저장_terms.pdf
Shinhan,Air One,(공통)아멕스 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01208_amex_platinum_basic.pdf,509346,3,datasets/pdfs\shinhan\manuals\Shinhan_Air One_공통아멕스 플래티늄.pdf
